"IPAdress","response","confidence","similarity","size"
"201.19.249.157","TAnoID",9,"low","6"
"207.41.73.2","TAnoID",11,"high","2"
"76.189.195.50","TPsuspect",8,"low","2"
"24.148.88.68","TAnoID",11,"low","6"
"75.134.104.161","TPnoID",11,"low","1"
"49.32.224.86","TPsuspect",7,"high","6"
"98.17.87.65","TPnoID",10,"low","1"
"197.230.63.150","TAnoID",11,"high","6"
"96.40.209.181","TPnoID",6,"low","1"
"66.25.231.225","TAsuspect",7,"low","1"
"24.158.41.253","TAfiller",10,"low","2"
"71.232.18.98","TAnoID",11,"low","1"
"76.184.204.47","TPsuspect",11,"high","1"
"66.8.204.253","TPnoID",11,"high","1"
"83.51.182.113","TPnoID",11,"high","1"
"24.17.16.164","TAnoID",9,"high","1"
"99.228.120.189","TAnoID",8,"high","1"
"71.88.42.212","TPsuspect",8,"high","2"
"108.218.177.164","TAnoID",11,"high","1"
"96.32.4.37","TPnoID",11,"low","6"
"201.75.170.246","TAnoID",11,"low","2"
"69.10.124.215","TAfiller",8,"high","2"
"70.16.232.72","TPfiller",4,"high","6"
"70.40.238.69","TPnoID",11,"high","2"
"75.167.222.235","TAnoID",11,"low","6"
"172.98.161.4","TPsuspect",6,"high","1"
"72.199.172.133","TAfiller",7,"high","6"
"42.106.182.69","TPnoID",11,"high","2"
"185.197.132.38","TPnoID",8,"low","1"
"2.42.111.26","TAnoID",11,"high","6"
"71.192.68.81","TPnoID",11,"low","6"
"190.242.24.60","TPsuspect",7,"low","2"
"162.83.196.184","TPsuspect",7,"low","1"
"99.148.179.99","TAfiller",9,"high","6"
"71.125.47.98","TAnoID",11,"high","1"
"24.186.54.225","TPsuspect",8,"high","2"
"71.219.223.215","TAnoID",11,"low","1"
"107.197.154.231","TPsuspect",9,"low","2"
"74.132.210.244","TPnoID",9,"high","1"
"99.45.234.107","TPnoID",6,"high","2"
"47.4.227.99","TPfiller",10,"low","6"
"71.239.34.120","TAnoID",8,"high","1"
"137.118.176.197","TPnoID",11,"low","6"
"63.75.250.89","TAfiller",10,"high","2"
"42.107.194.33","TPsuspect",1,"high","1"
"24.77.141.101","TAnoID",11,"low","2"
"186.226.202.144","TAnoID",10,"high","2"
"99.127.107.112","TAnoID",11,"high","1"
"70.64.19.37","TAnoID",11,"low","6"
"73.118.59.102","TPnoID",11,"low","2"
"71.86.56.167","TAnoID",9,"low","1"
"68.103.248.155","TPnoID",11,"low","2"
"68.112.233.138","TAnoID",11,"high","6"
"100.12.172.20","TAnoID",11,"low","6"
"0","TAsuspect",6,"high","1"
"69.136.208.104","TPnoID",11,"low","6"
"71.8.21.173","TPsuspect",10,"low","6"
"71.222.72.111","TPnoID",11,"low","1"
"73.145.82.176","TPnoID",9,"low","2"
"37.120.147.169","TAnoID",10,"high","1"
"73.74.230.148","TPnoID",11,"low","1"
"63.160.143.112","TPnoID",9,"low","6"
"75.172.113.100","TPsuspect",5,"low","2"
"76.121.235.138","TAsuspect",11,"high","1"
"75.8.74.35","TPnoID",11,"high","1"
"68.169.129.14","TPfiller",8,"low","6"
"177.154.15.231","TAnoID",11,"low","6"
"98.113.97.32","TPnoID",11,"high","1"
"54.215.73.50","TPsuspect",8,"high","6"
"75.85.66.120","TAnoID",10,"low","6"
"45.51.163.11","TAnoID",11,"low","2"
"72.131.85.74","TPnoID",11,"high","2"
"42.111.136.237","TAnoID",11,"high","1"
"65.60.140.125","TPnoID",7,"low","1"
"106.197.212.93","TPnoID",10,"low","6"
"198.91.152.147","TAnoID",11,"high","2"
"70.143.108.74","TPnoID",9,"low","1"
"174.56.10.102","TAsuspect",11,"high","2"
"177.203.226.134","TPnoID",11,"high","1"
"86.150.128.76","TAnoID",11,"low","6"
"109.76.31.25","TPnoID",10,"high","2"
"86.201.55.80","TPnoID",11,"high","6"
"107.198.36.140","TAfiller",11,"high","2"
"196.17.67.59","TPfiller",10,"high","6"
"143.159.27.234","TAnoID",8,"high","1"
"181.215.90.145","TPsuspect",11,"low","2"
"82.16.81.0","TAnoID",7,"low","6"
"91.174.15.13","TAnoID",11,"low","1"
"49.207.198.170","TAnoID",8,"high","6"
"157.32.243.223","TPsuspect",11,"low","2"
"47.204.50.152","TAnoID",11,"high","1"
"104.225.173.15","TAnoID",10,"low","6"
"66.25.49.169","TPnoID",11,"low","2"
"90.74.158.33","TAnoID",11,"high","2"
"63.75.253.152","TPsuspect",11,"low","2"
"171.49.209.24","TAnoID",9,"high","1"
"196.17.64.85","TPnoID",11,"high","2"
"97.113.190.99","TAnoID",10,"high","6"
"208.101.209.35","TPnoID",9,"low","1"
"2.44.132.14","TPsuspect",9,"low","6"
"185.228.229.0","TPsuspect",4,"low","1"
"201.80.0.22","TPsuspect",9,"low","6"
"72.90.153.139","TAsuspect",7,"low","2"
"74.111.57.48","TAnoID",9,"low","2"
"202.83.56.86","TAfiller",10,"low","6"
"45.35.97.203","TAfiller",9,"low","6"
"174.84.61.12","TPnoID",11,"high","1"
"73.206.51.137","TPnoID",10,"high","2"
"97.118.136.158","TPnoID",11,"high","2"
"177.209.26.105","TAnoID",11,"low","6"
"47.28.125.149","TPnoID",11,"low","6"
"182.188.150.27","TPnoID",11,"low","6"
"23.19.74.164","TAnoID",5,"high","2"
"172.107.168.196","TAnoID",11,"high","1"
"73.132.1.40","TAnoID",6,"low","1"
"121.208.149.1","TPsuspect",6,"low","1"
"108.227.22.144","TPnoID",6,"high","1"
"174.193.174.229","TAnoID",9,"low","6"
"173.79.238.101","TPsuspect",4,"low","2"
"104.162.233.138","TAnoID",8,"high","2"
"151.44.32.251","TPnoID",11,"high","6"
"50.80.115.166","TAnoID",7,"low","6"
"108.3.160.36","TAnoID",11,"high","1"
"109.155.25.128","TPnoID",11,"high","1"
"23.243.38.224","TPnoID",11,"low","6"
"73.53.7.16","TAnoID",10,"high","1"
"154.21.20.166","TAfiller",10,"high","2"
"174.62.21.95","TPnoID",11,"high","6"
"82.40.246.67","TPnoID",6,"high","2"
"107.3.158.190","TPnoID",11,"high","2"
"68.189.135.218","TAnoID",11,"low","6"
"66.25.155.75","TPnoID",11,"high","6"
"174.72.187.80","TPnoID",9,"high","2"
"142.179.251.17","TAsuspect",8,"low","1"
"173.28.41.204","TAnoID",11,"low","1"
"35.129.34.62","TAnoID",11,"high","1"
"76.27.201.63","TAnoID",11,"high","1"
"126.95.221.145","TPsuspect",4,"low","6"
"73.105.15.191","TAnoID",11,"low","6"
"174.247.65.71","TPnoID",9,"low","2"
"70.15.75.225","TAnoID",6,"low","6"
"73.13.117.139","TAnoID",11,"high","6"
"104.186.231.108","TAnoID",11,"high","2"
"99.87.204.143","TPnoID",10,"low","6"
"176.87.38.197","TAsuspect",9,"high","2"
"70.122.23.66","TPnoID",8,"high","2"
"65.35.247.152","TAfiller",8,"high","6"
"67.10.209.225","TPnoID",3,"low","1"
"71.214.109.237","TPnoID",11,"low","1"
"66.66.208.82","TAfiller",6,"high","6"
"98.233.122.157","TAnoID",11,"high","2"
"97.87.143.61","TPsuspect",9,"low","2"
"73.209.169.90","TAfiller",9,"high","6"
"75.174.105.165","TAnoID",11,"low","1"
"201.17.127.137","TAnoID",11,"high","2"
"187.46.117.214","TPnoID",11,"low","6"
"74.103.79.182","TAnoID",8,"low","6"
"187.115.232.226","TPnoID",9,"low","2"
"73.212.60.29","TAnoID",7,"high","1"
"97.100.149.168","TPsuspect",8,"high","1"
"24.9.164.137","TAnoID",6,"high","6"
"142.76.1.62","TPnoID",8,"high","2"
"153.33.92.22","TAnoID",11,"low","2"
"68.197.220.12","TAnoID",10,"low","6"
"49.37.211.197","TPsuspect",9,"high","1"
"187.36.173.153","TAnoID",10,"high","1"
"79.35.199.167","TAnoID",11,"high","1"
"24.167.162.145","TPsuspect",6,"low","6"
"73.138.145.160","TAnoID",11,"low","6"
"67.80.89.210","TPsuspect",9,"high","6"
